Date,Restaurant,Style,Price($),Parts,Drummies,Flats,Price($)/Part,Initial,Bone,Eaten,Cents/gram,Edible Percent,Longest Drummy,Shortest Drummy,Longest Flat,Shortest Flat,Whole Wings?,Messy?,Served Hot,Crispy,Crunchy ends,Dippable Sauce,Dry (note if mealy),Rating 1-5
12/01/2017,Runyon’s,Buffalo,12.95,10,8,2,1.295,420,134,286,4.527972028,68.0952381,84,76,95,82,N,Y,Y,Y,N,Y,N,4
12/02/2017,Hickory Hut,Dry Rub,9.99,10,5,5,0.999,356,125,231,4.324675325,64.88764045,92,76,98,77,Y,N,Y,Y,Y,N/A,Y,4
12/03/2017,Iron Door Pub,Buffalo/Grilled,9.99,10,3,7,0.999,369,98,271,3.686346863,73.44173442,88,80,90,82,N,N,Y,Y,Y,Y,N,4
12/04/2017,Brit’s Pub,Hoisin/Guinness Glaze,13.45,8,4,4,1.68125,440,116,324,4.151234568,73.63636364,100,90,95,88,N,Y,Y,N,N,Y,N,4
12/05/2017,Bull’s Horn,Dry Rub,9,12,9,3,0.75,408,124,284,3.169014085,69.60784314,83,75,80,73,N,N,Y,N,N,Y,N,4
12/06/2017,Randle's,Jamaican,12.75,8,4,4,1.59375,394,86,308,4.13961039,78.17258883,85,79,95,79,N,Y,Y,N,N,Y,N,2
12/06/2017,Darkhorse,Honey Chipotle BBQ,12,8,5,3,1.5,442,128,314,3.821656051,71.04072398,94,80,96,95,N,Y,Y,Y,Y,N/A,N,3
12/07/2017,Skyway Wok,Fried “Hot” Wings,7.19,9,4,5,0.7988888889,490,101,389,1.848329049,79.3877551,96,88,95,81,N,N,Y,Y,Y,N/A,N,5
12/08/2017,Keys at Foshay,Mongolian BBQ,10.99,8,4,4,1.37375,270,76,194,5.664948454,71.85185185,92,82,91,89,N,N,Y,Y,Y,Y,Y,3
12/09/2017,Cook St. Paul,Gochu BBQ,9,5,3,2,1.8,203,50,153,5.882352941,75.36945813,86,82,79,78,N,Y,Y,N,N,N/A,N,4
